,All.Treatment,PLOT,Genotype,No.Plants.est,No.Stems,Senescence,Treatment,Sowing,Altitude,M.Height,M.Thickness,M.Leaves,Year,BioM.Index,BioM.Index_NA,Harvist,Harvist_NA,DW,DW_NA,MC,Germ.First.20,Germ.First.32,Germ.First.50,Germ.15.43,Temp1,Temp5,Temp15,Temp40,Wat1,Wat5,Wat15,Wat40
346,Treated,65,Control,0,0,NA,Treated,5,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791667,0.193162791,0.193162791,0.193162791
347,Pr1,66,Pr1,0,0,NA,none,5,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
348,Control,66,Control,0,0,NA,none,5,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
349,Pr1 Treated,67,Pr1,0,0,NA,Treated,4,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
350,Treated,67,Control,0,13,3,Treated,4,Low,34,10,7,2014 Dat,442,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
351,Pr1 Treated,68,Pr1,0,64,3,Treated,2,Low,107.875,7.625,12,2014 Dat,6904,6904,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
352,Treated,68,Control,0,185,3,Treated,2,Low,93.27272727,7.272727273,12,2014 Dat,17255.45455,17255.45455,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
353,Pr1,69,Pr1,0,0,NA,none,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,Control,69,Control,0,0,NA,none,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,Pr1,70,Pr1,0,0,NA,none,2,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
356,Control,70,Control,0,35,4,none,2,Low,42.66666667,8.333333333,8.666666667,2014 Dat,1493.333333,1493.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
357,Pr1 Treated,71,Pr1,0,33,4,Treated,1,Low,61,8.333333333,10.33333333,2014 Dat,2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
358,Treated,71,Control,0,95,4,Treated,1,Low,102.2,9.6,12.6,2014 Dat,9709,9709,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
359,Pr1,72,Pr1,0,78,6,none,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,Control,72,Control,0,72,5,none,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,Pr1 Treated,73,Pr1,0,0,NA,Treated,2,Low,71.57142857,7.714285714,8.428571429,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
362,Treated,73,Control,0,0,NA,Treated,2,Low,70.66666667,9,9.166666667,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
363,Pr1,74,Pr1,0,0,NA,none,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,Control,74,Control,0,0,NA,none,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,Pr1 Treated,75,Pr1,0,120,3,Treated,1,Low,113,8.666666667,10,2014 Dat,13560,13560,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
366,Treated,75,Control,0,210,2,Treated,1,Low,97.15384615,8.384615385,11.81818182,2014 Dat,20402.30769,20402.30769,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
367,Pr1 Treated,76,Pr1,0,0,NA,Treated,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,Treated,76,Control,0,0,NA,Treated,8,Low,NA,NA,12,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,Pr1,77,Pr1,0,184,4,none,1,Low,105.4,6.7,10.6,2014 Dat,19393.6,19393.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
370,Control,77,Control,0,265,3,none,1,Low,109.4666667,6.866666667,11.33333333,2014 Dat,29008.66667,29008.66667,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
371,Pr1,78,Pr1,0,0,NA,none,6,Low,70.33333333,7.666666667,8.666666667,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,Control,78,Control,0,0,NA,none,6,Low,73.11111111,9.333333333,8.666666667,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,Pr1 Treated,79,Pr1,0,90,6,Treated,2,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
374,Treated,79,Control,0,185,3,Treated,2,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
375,Pr1,80,Pr1,0,0,NA,none,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,Control,80,Control,0,0,NA,none,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,Pr1,81,Pr1,0,0,NA,none,5,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
378,Control,81,Control,0,0,NA,none,5,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
379,Pr1 Treated,82,Pr1,0,0,NA,Treated,3,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
380,Treated,82,Control,0,290,4,Treated,3,Low,85.875,7.625,8.875,2014 Dat,24903.75,24903.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
381,Pr1 Treated,83,Pr1,0,138,4,Treated,3,Low,77.625,6.777777778,7.222222222,2014 Dat,10712.25,10712.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
382,Treated,83,Control,0,165,3,Treated,3,Low,54.8,7.7,8.5,2014 Dat,9042,9042,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
383,Pr1 Treated,84,Pr1,0,7,5,Treated,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,Treated,84,Control,0,0,NA,Treated,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,Pr1 Treated,85,Pr1,0,0,NA,Treated,1,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
386,Treated,85,Control,0,0,NA,Treated,1,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
387,Pr1,86,Pr1,0,0,NA,none,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,Control,86,Control,0,0,NA,none,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,Pr1 Treated,87,Pr1,0,0,NA,Treated,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,Treated,87,Control,0,0,NA,Treated,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,Pr1 Treated,88,Pr1,0,10,5,Treated,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,Treated,88,Control,0,0,NA,Treated,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,Pr1 Treated,89,Pr1,0,0,NA,Treated,4,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
394,Treated,89,Control,0,0,NA,Treated,4,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
395,Pr1 Treated,90,Pr1,0,5,4,Treated,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,Treated,90,Control,0,0,NA,Treated,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,Pr1 Treated,91,Pr1,0,0,NA,Treated,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,Treated,91,Control,0,0,NA,Treated,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,Pr1,92,Pr1,0,0,NA,none,4,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95583333,19.79295833,20.58556944,20.73556548,0.129166667,0.095045833,0.064534722,0.070974406
400,Control,92,Control,0,0,NA,none,4,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95583333,19.79295833,20.58556944,20.73556548,0.129166667,0.095045833,0.064534722,0.070974406
401,Pr1 Treated,93,Pr1,0,0,NA,Treated,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,Treated,93,Control,0,0,NA,Treated,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,Pr1,94,Pr1,0,0,NA,none,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,Control,94,Control,0,0,NA,none,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,Pr1,95,Pr1,0,0,NA,none,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,Control,95,Control,0,6,5,none,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,Pr1,96,Pr1,0,0,NA,none,3,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99416667,17.61575,16.47892222,18.85354386,0.065791667,0.0396,0.090990278,0.078610471
408,Control,96,Control,0,0,NA,none,3,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99416667,17.61575,16.47892222,18.85354386,0.065791667,0.0396,0.090990278,0.078610471
409,Pr1 Treated,97,Pr1,0,0,NA,Treated,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,Treated,97,Control,0,0,NA,Treated,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,Pr1,98,Pr1,0,0,NA,none,2,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
412,Control,98,Control,0,0,NA,none,2,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
413,Pr1,99,Pr1,0,0,NA,none,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,Control,99,Control,0,0,NA,none,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,Pr1 Treated,100,Pr1,0,0,NA,Treated,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,Treated,100,Control,0,0,NA,Treated,6,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,Pr1 Treated,101,Pr1,0,0,NA,Treated,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,Treated,101,Control,0,0,NA,Treated,8,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,Pr1,102,Pr1,0,0,NA,none,5,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
420,Control,102,Control,0,0,NA,none,5,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
421,Pr1,103,Pr1,0,0,NA,none,2,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
422,Control,103,Control,0,62,2,none,2,Low,50.33333333,6.5,9.666666667,2014 Dat,3120.666667,3120.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
423,Pr1 Treated,104,Pr1,0,0,NA,Treated,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,Treated,104,Control,0,0,NA,Treated,7,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,Pr1,105,Pr1,0,0,NA,none,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,Control,105,Control,0,0,NA,none,9,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,Pr1 Treated,106,Pr1,0,52,3,Treated,4,Low,42.2,6.6,8.8,2014 Dat,2194.4,2194.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
428,Treated,106,Control,0,0,NA,Treated,4,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
429,Pr1,107,Pr1,0,0,NA,none,1,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
430,Control,107,Control,0,85,2,none,1,Low,73,8.714285714,12,2014 Dat,6205,6205,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
431,Pr1,108,Pr1,0,84,3,none,3,Low,37.8,6.8,7.8,2014 Dat,3175.2,3175.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99416667,17.61575,16.47892222,18.85354386,0.065791667,0.0396,0.090990278,0.078610471
432,Control,108,Control,0,0,NA,none,3,Low,NA,NA,NA,2014 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99416667,17.61575,16.47892222,18.85354386,0.065791667,0.0396,0.090990278,0.078610471
